乛,20.771194236774253
丶,20.993664079607147
一,21.82847665815831
丷,26.73382655903808
亠,31.00700967879864
乊,33.18985734461447
冖,34.09845942549139
讠,35.09296570310577
冫,37.18660516461732
丿,37.67339561279623
丨,38.152476709985876
二,38.776934140115834
灬,40.53466616566683
宀,41.70979152360098
乁,42.447686546858606
氵,42.45209189028104
亅,42.709804480493396
乀,43.63712927091566
艹,43.83757239663639
丆,44.38163230930694
饣,48.11736353153059
厂,49.78588735277731
亽,49.82553544357921
丫,50.22862436673188
爫,50.679070731675715
纟,50.9522020238666
亻,51.86520944816595
三,52.69121133987225
广,53.332188807836324
丬,53.37624224206066
卜,53.53153059770145
忄,54.539252905583126
丅,55.380673499267935
丄,55.85204524546833
仒,57.293693880459706
亇,57.444576892678064
钅,59.263983726143124
巜,59.3267598699128
十,59.43358944790681
乚,59.70231539667526
丁,60.70232835356768
户,60.888454113165494
了,61.336697806398114
卪,63.29487295766983
工,63.3686624599956
彳,63.6847458505552
糹,63.79047409269361
扌,63.88518897627593
厃,64.21779240466967
兰,64.62418533538917
辶,65.62309695642597
上,65.72001451171951
亍,65.94578836211923
人,66.24535171484472
釒,66.81033700877182
入,66.85549177885176
亣,66.88522784695319
犭,67.02289482890423
下,67.03941486673837
兯,67.66717630443515
卝,68.07907591443268
彐,68.25528965133003
亓,68.45903678461757
卞,68.58789307972376
飞,68.84120032651369
亖,69.22887054768785
屵,69.28614001217949
尐,69.3555241710828
乄,69.38636157503984
八,69.4975964964563
亏,69.83460526827245
礻,69.93702950284404
卢,70.02073102787028
乆,70.04275774498245
卄,70.13967530027598
刂,70.30817968618406
厶,70.45906269840242
疒,70.47338006452533
罒,70.50311613262676
士,70.77734876067325
匚,70.79166612679614
孒,70.96347452027105
孓,71.09783749465528
凣,71.30598997136528
尸,71.35444874901204
产,71.36656344342373
干,71.48881172339627
个,71.5218517990645
玍,71.52405447077574
勹,71.78617240441052
六,71.92934606563962
土,72.21128804467536
丩,72.8071107425595
訁,73.03618860052606
刁,73.24544241309164
千,73.3577786703637
仌,73.48222962204744
寸,73.94258800969176
义,74.00866816102825
习,74.12871376928958
阝,74.36550097824538
衤,74.37651433680146
冮,74.47783723551743
亡,74.6826857046606
艼,75.06705191826792
订,75.4304927506187
卫,75.62653053291697
弋,75.94261392347659
彡,76.07587556200521
仧,76.13094235478562
夨,76.31596677852784
于,76.56707135360655
罓,77.12985397582243
斗,77.32038507884269
仁,77.36443851306703
厅,77.38976923774602
匸,77.42611332098109
亗,77.52633488384146
子,77.63977247696911
仨,77.83470892341181
丂,77.92281579186049
七,78.00761865274234
严,78.02524002643206
吖,78.14638697054899
计,78.17281903108358
亼,78.24440586169814
肀,78.48890242164319
口,78.80058046878037
卩,78.81159382733645
圹,78.90190336749635
卡,79.1463999274414
讣,79.15631195014187
亐,79.32151232848314
头,79.35895774757383
屲,79.66402777957735
乒,79.69486518353438
乓,79.8809909431322
癶,79.8942069733995
王,79.94376708690187
乜,80.03627929877298
朩,80.05390067246272
耂,80.13650086163335
圢,80.41183482553545
圠,80.44046955778127
卐,80.65633138548051
圤,80.77637699374182
小,80.91734798325969
仜,80.9845294704518
乡,81.01756954612006
苎,81.19708729058422
马,81.22131667940762
辷,81.28409282317729
夳,81.47792793376436
汇,81.57704816076912
卟,81.64202697625001
午,81.82044338485858
讧,81.83145674341466
匕,81.95040101582036
忊,81.97903574806618
叾,82.12000673758405
凵,82.12331074515087
气,82.12991876028453
尘,82.17947887378692
爿,82.21251894945516
车,82.24886303269025
让,82.29071379520336
芐,82.33917257285013
宁,82.35899661825108
弌,82.40194871661981
玌,82.40855673175346
玎,82.42617810544319
孑,82.44379947913293
尗,82.51428497389186
闩,82.65415462755414
讦,82.75217351870327
戸,82.81384832661735
亾,82.9790487049586
刍,83.13323572474378
圲,83.18830251752419
专,83.35130022415424
厼,83.40416434522345
兦,83.44601510773657
久,83.64976224102412
贝,83.78302387955273
圡,83.78632788711955
节,83.8700294121458
乙,83.88985345754675
仩,83.89425880096917
夕,84.03302711877583
廴,84.16078207802641
圵,84.21915287837365
忈,84.26100364088677
苄,84.53303359722204
芏,84.58259371072442
么,84.62114046567072
乍,84.76101011933298
吕,84.80065821013488
勺,84.96585858847614
仑,85.29185400173623
大,85.58260666761683
片,85.71917231371228
立,85.89758872232083
凢,85.93062879798909
曱,86.05618108552845
汃,86.05948509309528
书,86.2467121885487
厸,86.28195493592816
弓,86.38878451392219
汘,86.4548646652587
饤,86.47358737480403
吀,86.48019538993768
力,86.4823980616489
办,86.56499825081953
勽,86.57931561694244
之,86.59253164720974
才,86.59693699063216
冚,86.6288757304448
讨,86.71147591961544
牛,86.80178545977532
乂,86.83812954301041
壭,86.84143355057724
儿,86.86456160354501
乌,86.95927648712733
斤,87.00002591378484
庂,87.01324194405214
圱,87.01764728747457
覀,87.10465282006763
夰,87.16853029969292
刀,87.1916583526607
屳,87.22910377175138
戶,87.26544785498646
长,87.26765052669768
冇,87.27976522110937
芢,87.43835758431698
占,87.4934243770974
今,87.64320605346013
不,87.69276616696251
厈,87.69496883867373
与,87.71038754065225
火,87.7555423107322
仺,87.75994765415463
穴,87.7830757071224
心,87.860169217015
扩,87.86677723214864
玒,87.9405667344744
牜,87.992329519688
丌,87.99453219139922
纩,88.16634058487412
为,88.33814897834904
予,88.34145298591586
旷,88.36458103888363
几,88.54520011920341
冎,88.56942950802679
兲,88.57934153072726
犷,88.622293629096
叿,88.63330698765208
韦,88.71150183340028
犬,88.75004858834657
万,88.87670221174153
吇,88.8965262571425
